,loss
405,0.014611657985091437
406,0.0022466504816958176
407,0.06895099571254333
408,0.10762038697947258
409,0.024643891404961708
410,0.0206153669274407
411,0.0005170998896713299
412,0.014660819612589079
413,0.012374937689463803
414,0.0004951055009470857
415,0.10444534620476362
416,0.013843763051796371
417,0.020297578758141182
418,0.003987744617199762
419,0.03406264289453965
420,0.006436057341036549
421,0.0007719334263965886
422,0.16757638020601986
423,0.019200513149711534
424,0.03776877836346164
425,0.08960820813531942
426,0.00816355921895803
427,0.009866768764272449
428,0.025506895563268035
429,0.007183349752212163
430,0.05474068575684705
431,0.00879184864887301
432,0.031055727483232952
433,0.11110640353346614
434,0.02745119009818617
435,0.0016364156608083109
436,0.05025791941681994
437,0.0032876397828766153
438,0.011630355657879305
439,0.0060494071308905455
440,0.03212775767432159
441,0.027068644876033984
442,0.002259011328404016
443,0.018208682208246067
444,0.04942297211100267
445,0.015585204071588435
446,0.005989655445613195
447,0.010907018188202026
448,0.0028620335153401923
449,0.04496347036522197
450,0.027074712784412803
451,0.01639110633758595
452,0.0007479823904196775
453,0.0006560934125127922
454,0.0005940098178106859
455,0.015949649177412872
456,0.04247381951788079
457,0.009123449279012487
458,0.0051319623424734085
459,0.12769186554197226
460,0.0059513722245789534
461,0.206079848473188
462,9.9714375612906e-07
463,0.013816005329591353
464,0.0005591244290124218
465,0.13903999590713156
466,3.0954591877809244e-05
467,0.00012336015601336852
468,0.010211774377934807
469,0.04813208362034892
470,0.019818114242433803
471,0.01644085977532302
472,0.0006852698635220495
473,0.000286028815167427
474,0.0033224287731895073
475,0.0015456731329220117
476,0.04801890993094705
477,0.001077126444339804
478,0.018112865241113146
479,0.0015420802783468245
480,0.0004973557944018556
481,0.005516133683659465
482,0.0011885307729110578
483,0.07408181959300925
484,0.008729193487626595
485,0.0006413284723548405
486,0.0028659954664399796
487,2.8864078591559703e-05
488,0.006925773495749989
489,0.0004666321081949098
490,0.019298357092899517
491,0.024090720135477382
492,0.016123641186349985
493,0.026478811187772695
494,0.15095355396217178
495,0.009673423976565527
496,0.008576286271899738
497,0.004444483918704338
498,0.02358266985024342
499,0.10881091709412781
500,0.060785052427777785
501,0.004772354031078929
502,0.02071046657610545
503,0.0284704618071902
504,0.02207854680933443
505,0.009171367955590318
506,2.445947902590546e-05
507,0.006504286003604079
508,0.15159469068316625
509,7.314348731901864e-06
510,0.03906230931641016
511,0.007971498486710402
512,0.01722569969508799
513,0.11193110541390956
514,0.14658193256389407
515,0.1796893934744123
516,0.015117378103843887
517,0.05148782876978897
518,0.007361768605258209
519,0.0006026525780378282
520,0.009353611121539956
521,0.00010198481567622675
522,0.0018309999122674947
523,0.007693714756252453
524,0.10135963888250896
525,0.028579789331652346
526,0.0011643726175606724
527,0.05162561044219782
528,0.025709669560864443
529,0.020497524861262245
530,0.0016920029696320046
531,0.1371685130507602
532,0.002358858702213487
533,0.012423843671948733
534,0.0433787691093346
535,0.14189702911704163
536,0.0915992021669045
537,0.008611630899644162
538,0.030452846450269893
539,0.24833866190308299
540,0.0008546506082098428
541,0.002151089987045091
542,0.0010208166732038988
543,0.06712583705629371
544,0.003508918932295767
545,0.0033898659945341605
546,4.573515857023913e-05
547,0.10925683063357189
548,3.0721493924315063e-06
549,0.05304408390457136
550,0.019964531525881332
551,0.005482399370553207
552,0.0005283962567618841
553,0.01502284419983069
554,0.0026881393142857493
555,0.004792937387129222
556,0.0010073565638089397
557,0.0365102933427046
558,0.013689379153056916
559,0.01073688273120966
